"OCC_TITLE"
"Art Directors"
"Arts, Design, Entertainment, Sports, and Media Occupations"
"Audio and Video Equipment Technicians"
"Broadcast Technicians"
"Camera Operators, Television, Video, and Motion Picture"
"Commercial and Industrial Designers"
"Editors"
"Film and Video Editors"
"Fine Artists, Including Painters, Sculptors, and Illustrators"
"Floral Designers"
"Graphic Designers"
"Interior Designers"
"Interpreters and Translators"
"Media and Communication Equipment Workers, All Other"
"Media and Communication Workers, All Other"
"Merchandise Displayers and Window Trimmers"
"Multimedia Artists and Animators"
"Music Directors and Composers"
"Photographers"
"Producers and Directors"
"Public Relations Specialists"
"Radio and Television Announcers"
"Reporters and Correspondents"
"Set and Exhibit Designers"
"Sound Engineering Technicians"
"Technical Writers"
"Writers and Authors"
