"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","AL","33860","Montgomery, AL","27-3031","Public Relations Specialists",,500,6.3,3.176,1.25,47580,2.4,28800,37780,45130,56130,71490
"2011","AL","33860","Montgomery, AL","27-3041","Editors",,110,10.5,0.682,1.25,45760,3.6,27170,36690,45370,54410,67860
"2011","AL","33860","Montgomery, AL","27-3043","Writers and Authors",,50,14.6,0.312,1.25,50710,4.6,20500,24010,50720,70100,90020
"2011","AL","33860","Montgomery, AL","27-4011","Audio and Video Equipment Technicians",,30,0,0.208,1.25,33330,1.7,17410,20490,32820,43410,54460
"2011","AL","33860","Montgomery, AL","27-4021","Photographers",,110,19.9,0.703,1.25,29610,8.5,19520,21430,25700,33410,50310
"2011","AL","33860","Montgomery, AL","27-4031","Camera Operators, Television, Video, and Motion Picture",,40,27.2,0.229,1.25,31000,13.4,16220,17940,21550,30930,74960
"2011","AZ","38060","Phoenix, AZ","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",19100,4.1,11.243,1.22,48180,2.8,19050,28860,40810,58130,78390
"2011","AZ","38060","Phoenix, AZ","27-1011","Art Directors",,250,25.9,0.149,1.22,62360,5.2,35590,49170,58540,71330,91700
"2011","AZ","38060","Phoenix, AZ","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,140,31.1,0.082,1.22,44480,5.2,24290,33520,38090,55500,73570
"2011","AZ","38060","Phoenix, AZ","27-1014","Multimedia Artists and Animators",,60,14.4,0.037,1.21,59570,8.7,29990,47860,57040,76370,90740
"2011","AZ","38060","Phoenix, AZ","27-1021","Commercial and Industrial Designers",,280,20.3,0.166,1.21,60790,4.7,29040,50120,60950,76980,89030
"2011","AZ","38060","Phoenix, AZ","27-1023","Floral Designers",,510,20.8,0.302,1.21,25410,5,17620,21200,25940,28950,31680
"2011","AZ","38060","Phoenix, AZ","27-1024","Graphic Designers",,2440,7,1.438,1.21,45070,2.3,29240,34740,42080,51050,69190
"2011","AZ","38060","Phoenix, AZ","27-1025","Interior Designers",,710,24.2,0.42,1.21,53880,5.3,32250,43510,53470,64180,75190
"2011","AZ","38060","Phoenix, AZ","27-1026","Merchandise Displayers and Window Trimmers",,1350,26.4,0.793,1.21,26500,5.6,17210,19950,23590,33320,39030
"2011","AZ","38060","Phoenix, AZ","27-1027","Set and Exhibit Designers",,50,20.8,0.032,1.21,35230,8.2,20610,24240,30480,38870,63430
"2011","AZ","38060","Phoenix, AZ","27-1029","Designers, All Other",,240,41.5,0.139,1.21,65940,16,19810,32820,62900,88980,114120
"2011","AZ","38060","Phoenix, AZ","27-2012","Producers and Directors",,490,11.4,0.288,1.21,58740,2.9,27510,39650,57500,74170,92090
"2011","AZ","38060","Phoenix, AZ","27-2032","Choreographers",,590,39,0.345,1.21,42690,13.4,21990,27810,37620,58460,72100
"2011","AZ","38060","Phoenix, AZ","27-2041","Music Directors and Composers",,250,3.2,0.147,1.21,46860,2.4,33940,38850,46120,54770,61390
"2011","AZ","38060","Phoenix, AZ","27-3011","Radio and Television Announcers",,290,37.7,0.172,1.21,72290,17.8,23030,32950,52330,85150,146630
"2011","AZ","38060","Phoenix, AZ","27-3012","Public Address System and Other Announcers",,30,33.2,0.021,1.21,31870,11,16580,18240,26580,43170,58100
"2011","AZ","38060","Phoenix, AZ","27-3021","Broadcast News Analysts",,70,30.3,0.043,1.21,48160,15.7,25880,27900,36470,48180,95180
"2011","AZ","38060","Phoenix, AZ","27-3022","Reporters and Correspondents",,510,13.2,0.303,1.21,48620,4.1,20600,32830,50280,59820,75070
"2011","AZ","38060","Phoenix, AZ","27-3031","Public Relations Specialists",,1800,8.6,1.058,1.21,69040,12.2,30630,38400,54120,74060,103670
"2011","AZ","38060","Phoenix, AZ","27-3041","Editors",,860,18.1,0.505,1.21,59030,3.2,34410,41650,54860,72360,88980
"2011","AZ","38060","Phoenix, AZ","27-3042","Technical Writers",,460,11.3,0.272,1.21,61410,2.5,39120,49550,63090,73350,84910
"2011","AZ","38060","Phoenix, AZ","27-3043","Writers and Authors",,430,23,0.251,1.21,55620,9.6,32050,36340,48290,58610,80790
"2011","AZ","38060","Phoenix, AZ","27-3091","Interpreters and Translators",,740,13.9,0.433,1.21,45270,6.5,22800,35200,42450,49680,76050
"2011","AZ","38060","Phoenix, AZ","27-3099","Media and Communication Workers, All Other",,530,16,0.312,1.21,43360,4.8,24370,31850,38060,49660,66700
"2011","AZ","38060","Phoenix, AZ","27-4011","Audio and Video Equipment Technicians",,710,18,0.419,1.2,37800,3.9,20560,26750,34240,46790,59860
