"Region","year","Schools_With_Fine_Art_Programs","Number_of_Fine_Art_Classes","School_Year"
"Santa Monica Malibu",2005,6,133,"2004-05"
"Santa Monica Malibu",2006,6,148,"2005-06"
"Santa Monica Malibu",2007,5,119,"2006-07"
"Santa Monica Malibu",2008,6,118,"2007-08"
"Santa Monica Malibu",2009,5,115,"2008-09"
"Santa Monica Malibu",2010,0,0,"2009-10"
"Santa Monica Malibu",2011,4,144,"2010-11"
"Alameda County",2011,132,1528,"2010-11"
"Alameda County",2009,127,1505,"2008-09"
"Alameda County",2008,133,1496,"2007-08"
"Alameda County",2007,123,1652,"2006-07"
"Alameda County",2006,114,1455,"2005-06"
"Alameda County",2005,117,1435,"2004-05"
"Alameda County",2004,107,1349,"2003-04"
"Alameda County",2003,110,1517,"2002-03"
"Alameda County",2002,115,1493,"2001-02"
"Alameda County",2001,139,1466,"2000-01"
"Alameda County",2000,160,1661,"1999-00"
"Alameda County",1999,147,1644,"1998-99"
"Alameda County",1998,129,1454,"1997-98"
"Kern County",2011,93,1179,"2010-11"
"Kern County",2009,94,1071,"2008-09"
"Kern County",2008,92,1168,"2007-08"
"Kern County",2007,85,1126,"2006-07"
"Kern County",2006,79,1094,"2005-06"
"Kern County",2005,78,1094,"2004-05"
"Kern County",2004,81,1027,"2003-04"
"Kern County",2003,79,1162,"2002-03"
"Kern County",2002,83,1196,"2001-02"
"Kern County",2001,82,1145,"2000-01"
"Kern County",2000,87,1243,"1999-00"
"Kern County",1999,86,1224,"1998-99"
"Kern County",1998,89,1156,"1997-98"
"Los Angeles County",2011,766,11224,"2010-11"
"Los Angeles County",2009,687,10050,"2008-09"
"Los Angeles County",2008,654,10590,"2007-08"
"Los Angeles County",2007,618,9956,"2006-07"
"Los Angeles County",2006,595,9781,"2005-06"
"Los Angeles County",2005,610,10371,"2004-05"
"Los Angeles County",2004,600,9981,"2003-04"
"Los Angeles County",2003,674,9504,"2002-03"
"Los Angeles County",2002,659,9675,"2001-02"
"Los Angeles County",2001,182,3220,"2000-01"
"Los Angeles County",2000,600,9623,"1999-00"
"Los Angeles County",1999,571,9228,"1998-99"
"Los Angeles County",1998,576,8828,"1997-98"
"Orange County",2011,192,3174,"2010-11"
"Orange County",2009,191,3517,"2008-09"
"Orange County",2008,190,3656,"2007-08"
"Orange County",2007,197,3550,"2006-07"
"Orange County",2006,185,3127,"2005-06"
"Orange County",2005,173,3363,"2004-05"
"Orange County",2004,180,3206,"2003-04"
"Orange County",2003,188,3448,"2002-03"
"Orange County",2002,182,3129,"2001-02"
"Orange County",2001,124,1870,"2000-01"
"Orange County",2000,201,3518,"1999-00"
"Orange County",1999,215,3354,"1998-99"
"Orange County",1998,220,3190,"1997-98"
"Riverside County",2011,172,3039,"2010-11"
"Riverside County",2009,164,2454,"2008-09"
"Riverside County",2008,157,2474,"2007-08"
"Riverside County",2007,148,2389,"2006-07"
"Riverside County",2006,143,2327,"2005-06"
"Riverside County",2005,142,2243,"2004-05"
"Riverside County",2004,135,2105,"2003-04"
"Riverside County",2003,132,2228,"2002-03"
"Riverside County",2002,127,2007,"2001-02"
"Riverside County",2001,124,1870,"2000-01"
"Riverside County",2000,166,2034,"1999-00"
"Riverside County",1999,154,1935,"1998-99"
"Riverside County",1998,141,1876,"1997-98"
"Sacramento County",2011,145,1951,"2010-11"
"Sacramento County",2009,123,1562,"2008-09"
"Sacramento County",2008,124,1574,"2007-08"
"Sacramento County",2007,119,1384,"2006-07"
"Sacramento County",2006,103,1258,"2005-06"
"Sacramento County",2005,105,1328,"2004-05"
"Sacramento County",2004,96,1310,"2003-04"
"Sacramento County",2003,89,1424,"2002-03"
"Sacramento County",2002,80,1286,"2001-02"
"Sacramento County",2001,96,1359,"2000-01"
