OCC_TITLE
Actors
Art Directors
"Artists and Related Workers, All Other"
"Arts, Design, Entertainment, Sports, and Media Occupations"
Athletes and Sports Competitors
Audio and Video Equipment Technicians
Broadcast News Analysts
Broadcast Technicians
"Camera Operators, Television, Video, and Motion Picture"
Choreographers
Coaches and Scouts
Commercial and Industrial Designers
Craft Artists
Dancers
"Designers, All Other"
Editors
"Entertainers and Performers, Sports and Related Workers, All Other"
Fashion Designers
Film and Video Editors
"Fine Artists, Including Painters, Sculptors, and Illustrators"
Floral Designers
Graphic Designers
Interior Designers
Interpreters and Translators
"Media and Communication Equipment Workers, All Other"
"Media and Communication Workers, All Other"
Merchandise Displayers and Window Trimmers
Multimedia Artists and Animators
Music Directors and Composers
Musicians and Singers
Photographers
Producers and Directors
Public Address System and Other Announcers
Public Relations Specialists
Radio Operators
Radio and Television Announcers
Reporters and Correspondents
Set and Exhibit Designers
Sound Engineering Technicians
Technical Writers
"Umpires, Referees, and Other Sports Officials"
Writers and Authors
