School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Beverly Hills USD,2005,2315,Classroom/general/exploratory music,2,31,2,0.4,15.5,15.5,Music
Beverly Hills USD,2006,2315,Classroom/general/exploratory music,2,40,3,0.4,13.3,13.3,Music
Burbank Unified,1997,2315,Classroom/general/exploratory music,1,53,1,0.2,0,53,Music
Inglewood USD,1997,2315,Classroom/general/exploratory music,1,64,2,0.36,32,32,Music
Inglewood USD,1998,2315,Classroom/general/exploratory music,1,34,1,0.19,34,34,Music
La Canada Unified,1998,2315,Classroom/general/exploratory music,1,161,3,0.6,35,53.7,Music
Long Beach Unified,1997,2315,Classroom/general/exploratory music,6,373,11,1.95,31.9,33.9,Music
Long Beach Unified,1998,2315,Classroom/general/exploratory music,3,151,4,0.71,37.8,37.8,Music
Long Beach Unified,1999,2315,Classroom/general/exploratory music,9,675,19,3.68,29.3,35.5,Music
Long Beach Unified,2000,2315,Classroom/general/exploratory music,8,325,10,2.04,30.3,32.5,Music
Long Beach Unified,2001,2315,Classroom/general/exploratory music,7,378,12,2.26,31.5,31.5,Music
Long Beach Unified,2002,2315,Classroom/general/exploratory music,9,560,18,3.59,31.1,31.1,Music
Long Beach Unified,2003,2315,Classroom/general/exploratory music,7,281,8,1.58,35.1,35.1,Music
Long Beach Unified,2004,2315,Classroom/general/exploratory music,4,252,7,1.34,36,36,Music
Long Beach Unified,2005,2315,Classroom/general/exploratory music,2,83,2,0.37,41.5,41.5,Music
Long Beach Unified,2006,2315,Classroom/general/exploratory music,5,209,6,1.2,34.8,34.8,Music
Los Angeles USD,1997,2315,Classroom/general/exploratory music,52,10404,182,38.88,31.9,57.2,Music
Los Angeles USD,1998,2315,Classroom/general/exploratory music,54,10332,175,38.18,30.6,59,Music
Los Angeles USD,1999,2315,Classroom/general/exploratory music,60,12419,178,41.78,30.1,69.8,Music
Los Angeles USD,2000,2315,Classroom/general/exploratory music,49,3788,133,25.96,28.3,28.5,Music
Los Angeles USD,2001,2315,Classroom/general/exploratory music,50,3607,127,24.54,28.4,28.4,Music
Los Angeles USD,2002,2315,Classroom/general/exploratory music,41,2981,99,18.79,30.1,30.1,Music
Los Angeles USD,2003,2315,Classroom/general/exploratory music,42,3380,112,21.44,30.2,30.2,Music
Los Angeles USD,2004,2315,Classroom/general/exploratory music,40,3955,127,23.99,30.6,31.1,Music
Los Angeles USD,2005,2315,Classroom/general/exploratory music,39,3853,125,23.39,30.8,30.8,Music
Los Angeles USD,2006,2315,Classroom/general/exploratory music,30,2622,85,16.03,30.8,30.8,Music
Manhattan Beach USD,1997,2315,Classroom/general/exploratory music,1,1076,3,1,0,358.7,Music
Manhattan Beach USD,1998,2315,Classroom/general/exploratory music,1,1287,5,1,0,257.4,Music
Manhattan Beach USD,1999,2315,Classroom/general/exploratory music,1,1235,6,1,0,205.8,Music
Manhattan Beach USD,2000,2315,Classroom/general/exploratory music,1,886,4,1,0,221.5,Music
Manhattan Beach USD,2001,2315,Classroom/general/exploratory music,1,2120,9,2,42,235.6,Music
Manhattan Beach USD,2003,2315,Classroom/general/exploratory music,1,53,2,0.3,26.5,26.5,Music
Manhattan Beach USD,2004,2315,Classroom/general/exploratory music,1,68,2,0.3,34,34,Music
Manhattan Beach USD,2005,2315,Classroom/general/exploratory music,1,49,2,0.33,24.5,24.5,Music
Manhattan Beach USD,2006,2315,Classroom/general/exploratory music,1,57,2,0.33,28.5,28.5,Music
Pasadena Unified,1997,2315,Classroom/general/exploratory music,2,86,2,0.8,32,43,Music
Pasadena Unified,1998,2315,Classroom/general/exploratory music,2,156,2,0.8,39,78,Music
Pasadena Unified,1999,2315,Classroom/general/exploratory music,1,82,3,0.75,27.3,27.3,Music
Pasadena Unified,2000,2315,Classroom/general/exploratory music,1,92,3,0.6,30.7,30.7,Music
Pasadena Unified,2001,2315,Classroom/general/exploratory music,1,61,2,0.34,30.5,30.5,Music
Santa Monica-Malibu USD,1997,2315,Classroom/general/exploratory music,2,150,5,1,30,30,Music
Santa Monica-Malibu USD,1998,2315,Classroom/general/exploratory music,2,128,4,0.7,32,32,Music
Santa Monica-Malibu USD,1999,2315,Classroom/general/exploratory music,1,84,3,0.54,28,28,Music
Santa Monica-Malibu USD,2000,2315,Classroom/general/exploratory music,2,133,5,0.75,26.6,26.6,Music
Santa Monica-Malibu USD,2001,2315,Classroom/general/exploratory music,2,161,7,1.35,23,23,Music
Santa Monica-Malibu USD,2002,2315,Classroom/general/exploratory music,1,69,3,0.51,23,23,Music
Santa Monica-Malibu USD,2003,2315,Classroom/general/exploratory music,1,40,2,0.38,20,20,Music
Santa Monica-Malibu USD,2004,2315,Classroom/general/exploratory music,1,61,2,0.36,30.5,30.5,Music
Santa Monica-Malibu USD,2005,2315,Classroom/general/exploratory music,1,38,2,0.36,19,19,Music
Santa Monica-Malibu USD,2006,2315,Classroom/general/exploratory music,1,45,2,0.36,22.5,22.5,Music
Burbank Unified,2004,4331,Clothing and textiles,1,27,1,0.2,27,27,Fashion/Home Eco
Burbank Unified,2005,4331,Clothing and textiles,1,46,1,0.2,46,46,Fashion/Home Eco
Burbank Unified,2006,4331,Clothing and textiles,1,25,1,0.2,25,25,Fashion/Home Eco
Burbank Unified,2007,4331,Clothing and textiles,1,29,1,0.2,29,29,Fashion/Home Eco
Burbank Unified,2008,4331,Clothing and textiles,1,26,1,0.2,26,26,Fashion/Home Eco
Inglewood USD,1997,4331,Clothing and textiles,2,137,5,0.94,27.4,27.4,Fashion/Home Eco
Inglewood USD,1998,4331,Clothing and textiles,1,26,1,0.2,26,26,Fashion/Home Eco
Inglewood USD,1999,4331,Clothing and textiles,1,26,1,0.19,26,26,Fashion/Home Eco
Inglewood USD,2001,4331,Clothing and textiles,1,28,1,0.2,28,28,Fashion/Home Eco
Inglewood USD,2002,4331,Clothing and textiles,1,27,1,0.2,27,27,Fashion/Home Eco
Inglewood USD,2003,4331,Clothing and textiles,1,32,1,0.2,32,32,Fashion/Home Eco
Inglewood USD,2004,4331,Clothing and textiles,1,28,1,0.2,28,28,Fashion/Home Eco
Inglewood USD,2005,4331,Clothing and textiles,1,26,1,0.2,26,26,Fashion/Home Eco
Inglewood USD,2006,4331,Clothing and textiles,1,29,1,0.33,29,29,Fashion/Home Eco
Inglewood USD,2007,4331,Clothing and textiles,1,29,1,0.33,29,29,Fashion/Home Eco
Long Beach Unified,1997,4331,Clothing and textiles,1,90,3,0.6,30,30,Fashion/Home Eco
Long Beach Unified,2000,4331,Clothing and textiles,1,38,1,0.2,38,38,Fashion/Home Eco
Long Beach Unified,2005,4331,Clothing and textiles,1,78,3,0.51,26,26,Fashion/Home Eco
Long Beach Unified,2006,4331,Clothing and textiles,1,75,2,0.4,37.5,37.5,Fashion/Home Eco
Long Beach Unified,2007,4331,Clothing and textiles,2,120,4,0.8,30,30,Fashion/Home Eco
Long Beach Unified,2008,4331,Clothing and textiles,2,160,5,1,32,32,Fashion/Home Eco
Long Beach Unified,2010,4331,Clothing and textiles,1,66,2,0.4,33,33,Fashion/Home Eco
Los Angeles USD,1997,4331,Clothing and textiles,27,2652,88,17.01,30.1,30.1,Fashion/Home Eco
Los Angeles USD,1998,4331,Clothing and textiles,26,2356,80,15.33,29.5,29.4,Fashion/Home Eco
Los Angeles USD,1999,4331,Clothing and textiles,26,2275,76,14.67,29.9,29.9,Fashion/Home Eco
Los Angeles USD,2000,4331,Clothing and textiles,24,1937,65,12.65,29.8,29.8,Fashion/Home Eco
Los Angeles USD,2001,4331,Clothing and textiles,19,1416,48,9.42,29.5,29.5,Fashion/Home Eco
Los Angeles USD,2002,4331,Clothing and textiles,18,1157,41,8.02,28.2,28.2,Fashion/Home Eco
Los Angeles USD,2003,4331,Clothing and textiles,19,948,35,6.88,27.1,27.1,Music AP
Los Angeles USD,2004,4331,Clothing and textiles,15,818,31,6.11,26.4,26.4,Fashion/Home Eco
Los Angeles USD,2005,4331,Clothing and textiles,14,931,33,6.42,28.2,28.2,Fashion/Home Eco
Los Angeles USD,2006,4331,Clothing and textiles,14,785,28,5.72,28,28,Fashion/Home Eco
Los Angeles USD,2007,4331,Clothing and textiles,13,867,34,7.14,25.5,25.5,Fashion/Home Eco
Los Angeles USD,2008,4331,Clothing and textiles,13,853,35,7.02,24.4,24.4,Fashion/Home Eco
Los Angeles USD,2010,4331,Clothing and textiles,9,707,25,4.84,28.3,28.3,Fashion/Home Eco
Pasadena Unified,1997,4331,Clothing and textiles,2,63,2,0.4,31.5,31.5,Fashion/Home Eco
Pasadena Unified,1998,4331,Clothing and textiles,1,37,1,0.2,37,37,Fashion/Home Eco
Pasadena Unified,1999,4331,Clothing and textiles,1,24,1,0.2,24,24,Fashion/Home Eco
Pasadena Unified,2000,4331,Clothing and textiles,1,26,1,0.2,26,26,Fashion/Home Eco
Pasadena Unified,2007,4331,Clothing and textiles,1,37,2,0.4,18.5,18.5,Fashion/Home Eco
Pasadena Unified,2008,4331,Clothing and textiles,2,81,4,0.58,20.2,20.2,Fashion/Home Eco
Burbank Unified,1997,5754,Commercial art,1,17,1,0.2,17,17,"Visual Comm, Graphics"
Glendale Unified,2001,5754,Commercial art,1,29,1,0.2,29,29,"Visual Comm, Graphics"
Pasadena Unified,2008,5754,Commercial art,1,105,3,0.36,35,35,"Arts, Media and Entertainment"
Burbank Unified,1997,5755,Commercial photography,1,14,1,0.2,14,14,"Visual Comm, Graphics"
Burbank Unified,1999,5755,Commercial photography,1,36,1,0.2,36,36,"Visual Comm, Graphics"
Glendale Unified,2010,5755,Commercial photography,1,133,4,0.52,33.2,33.2,"Arts, Media and Entertainment"
La Canada Unified,2006,5755,Commercial photography,1,37,1,0.2,37,37,"Visual Comm, Graphics"
Los Angeles USD,2010,5755,Commercial photography,1,56,2,0.28,28,28,"Arts, Media and Entertainment"
Pasadena Unified,2003,5755,Commercial photography,1,33,1,0.4,33,33,"Visual Comm, Graphics"
Los Angeles USD,1997,5756,"Composition, make-up, and typesetting",27,3258,120,22.57,27.1,27.2,"Visual Comm, Graphics"
Los Angeles USD,1998,5756,"Composition, make-up, and typesetting",25,3278,115,21.63,28.5,28.5,"Visual Comm, Graphics"
Los Angeles USD,1999,5756,"Composition, make-up, and typesetting",25,3277,112,21.04,29.3,29.3,"Visual Comm, Graphics"
Los Angeles USD,2000,5756,"Composition, make-up, and typesetting",24,3029,108,20.11,28,28,"Visual Comm, Graphics"
Los Angeles USD,2001,5756,"Composition, make-up, and typesetting",23,3408,116,21.46,29.4,29.4,"Visual Comm, Graphics"
Los Angeles USD,2002,5756,"Composition, make-up, and typesetting",21,3298,108,19.62,30.5,30.5,"Visual Comm, Graphics"
Los Angeles USD,2003,5756,"Composition, make-up, and typesetting",20,2890,100,18.25,28.9,28.9,"Visual Comm, Graphics"
Los Angeles USD,2004,5756,"Composition, make-up, and typesetting",17,2500,87,15.66,28.7,28.7,"Visual Comm, Graphics"
Los Angeles USD,2005,5756,"Composition, make-up, and typesetting",18,2507,86,16.06,29.2,29.2,"Visual Comm, Graphics"
Los Angeles USD,2006,5756,"Composition, make-up, and typesetting",12,1872,62,11.29,30.2,30.2,"Visual Comm, Graphics"
Pasadena Unified,2002,5756,"Composition, make-up, and typesetting",1,18,1,0.2,18,18,"Visual Comm, Graphics"
Long Beach Unified,2008,2309,Composition/songwriting,1,33,1,0.17,33,33,Music
Pasadena Unified,2008,2309,Composition/songwriting,1,8,1,0.2,8,8,Music
Santa Monica-Malibu USD,1997,2309,Composition/songwriting,1,105,3,0.6,35,35,Music
Santa Monica-Malibu USD,2003,2309,Composition/songwriting,1,23,1,0.2,23,23,Music
Santa Monica-Malibu USD,2004,2309,Composition/songwriting,1,19,1,0.2,19,19,Music
Beverly Hills USD,1997,2820,Computer art/graphics,1,108,4,0.8,27,27,Art
Beverly Hills USD,1998,2820,Computer art/graphics,1,101,4,0.8,25.2,25.2,Art
Beverly Hills USD,2000,2820,Computer art/graphics,1,90,4,0.8,22.5,22.5,Art
Beverly Hills USD,2001,2820,Computer art/graphics,1,72,4,0.8,18,18,Art
Beverly Hills USD,2002,2820,Computer art/graphics,1,90,4,0.8,22.5,22.5,Art
Beverly Hills USD,2003,2820,Computer art/graphics,1,124,5,1,24.8,24.8,Art
Beverly Hills USD,2004,2820,Computer art/graphics,1,87,4,0.8,21.8,21.8,Art
Beverly Hills USD,2005,2820,Computer art/graphics,1,114,4,0.8,28.5,28.5,Art
Beverly Hills USD,2006,2820,Computer art/graphics,1,107,4,0.8,26.8,26.8,Art
Burbank Unified,2006,2820,Computer art/graphics,1,153,5,1,30.6,30.6,Art
Glendale Unified,2004,2820,Computer art/graphics,1,29,1,0.2,29,29,Art
Glendale Unified,2005,2820,Computer art/graphics,1,31,1,0.2,31,31,Art
Glendale Unified,2006,2820,Computer art/graphics,1,25,1,0.2,25,25,Art
Inglewood USD,2001,2820,Computer art/graphics,2,240,9,1.82,26.7,26.7,Art
Inglewood USD,2002,2820,Computer art/graphics,1,144,5,1,28.8,28.8,Art
Long Beach Unified,1997,2820,Computer art/graphics,1,33,1,0.16,33,33,Art
Long Beach Unified,1999,2820,Computer art/graphics,1,9,1,0.17,9,9,Art
Long Beach Unified,2000,2820,Computer art/graphics,1,193,6,1.2,32.2,32.2,Art
Long Beach Unified,2001,2820,Computer art/graphics,2,347,10,1.83,34.7,34.7,Art
Long Beach Unified,2002,2820,Computer art/graphics,2,232,8,1.35,29,29,Art
Long Beach Unified,2003,2820,Computer art/graphics,4,380,12,2.5,31.7,31.7,Art
Long Beach Unified,2004,2820,Computer art/graphics,4,324,10,2.05,32.4,32.4,Art
Long Beach Unified,2005,2820,Computer art/graphics,4,340,10,1.96,34,34,Art
Long Beach Unified,2006,2820,Computer art/graphics,4,303,9,1.69,33.7,33.7,Art
Los Angeles USD,2001,2820,Computer art/graphics,11,679,24,4.6,28.3,28.3,Art
Los Angeles USD,2002,2820,Computer art/graphics,25,1630,57,10.94,28.6,28.6,Art
Los Angeles USD,2003,2820,Computer art/graphics,35,3406,116,22.19,28.9,29.4,Art
Los Angeles USD,2004,2820,Computer art/graphics,42,3986,136,24.66,29.3,29.3,Art
Los Angeles USD,2005,2820,Computer art/graphics,39,3882,129,24.26,29.6,30.1,Art
Los Angeles USD,2006,2820,Computer art/graphics,42,4686,154,28.82,30.4,30.4,Art
Manhattan Beach USD,1997,2820,Computer art/graphics,1,23,1,0.2,23,23,Art
Manhattan Beach USD,1999,2820,Computer art/graphics,1,58,2,0.2,29,29,Art
Manhattan Beach USD,2003,2820,Computer art/graphics,1,31,1,0.1,31,31,Art
Manhattan Beach USD,2006,2820,Computer art/graphics,1,29,1,0.17,29,29,Art
Pasadena Unified,1999,2820,Computer art/graphics,1,76,4,1,19,19,Art
Pasadena Unified,2000,2820,Computer art/graphics,1,85,4,0.72,21.2,21.2,Art
Pasadena Unified,2002,2820,Computer art/graphics,1,31,1,0.2,31,31,Art
Pasadena Unified,2004,2820,Computer art/graphics,2,87,6,1,14.5,14.5,Art
Pasadena Unified,2005,2820,Computer art/graphics,2,151,6,1.5,25.2,25.2,Art
Santa Monica-Malibu USD,1998,2820,Computer art/graphics,1,27,1,0.2,27,27,Art
Santa Monica-Malibu USD,1999,2820,Computer art/graphics,1,28,1,0.2,28,28,Art
Santa Monica-Malibu USD,2005,2820,Computer art/graphics,1,6,1,0.2,6,6,Art
Santa Monica-Malibu USD,2006,2820,Computer art/graphics,1,18,1,0.2,18,18,Art
Burbank Unified,2010,5752,Computer gaming and design,2,60,2,0.4,30,30,"Arts, Media and Entertainment"
Beverly Hills USD,2007,2323,Computers and Electronics in Music,1,20,1,0.2,20,20,Music
Beverly Hills USD,2008,2323,Computers and Electronics in Music,1,34,1,0.2,34,34,Music
Los Angeles USD,2006,2323,Computers and Electronics in Music,2,49,2,0.32,24.5,24.5,Music
Los Angeles USD,2007,2323,Computers and Electronics in Music,3,104,4,0.86,26,26,Music
Los Angeles USD,2008,2323,Computers and Electronics in Music,2,50,2,0.53,25,25,Music
Los Angeles USD,2010,2323,Computers and Electronics in Music,2,121,5,1,24.2,24.2,Music
Inglewood USD,2003,2321,Computers in music,1,33,1,0.2,33,33,Music
Los Angeles USD,2001,2321,Computers in music,1,112,5,1,22.4,22.4,Music
Los Angeles USD,2002,2321,Computers in music,5,260,11,2.16,23.6,23.6,Music
Los Angeles USD,2004,2321,Computers in music,1,18,1,0.17,18,18,Music
Los Angeles USD,2005,2321,Computers in music,1,32,1,0.17,32,32,Music
Beverly Hills USD,1997,2802,Crafts,1,25,1,0.2,25,25,Art
Beverly Hills USD,1998,2802,Crafts,1,27,1,0.2,27,27,Art
Beverly Hills USD,1999,2802,Crafts,1,29,1,0.25,29,29,Art
Beverly Hills USD,2000,2802,Crafts,1,30,1,0.2,30,30,Art
Beverly Hills USD,2001,2802,Crafts,1,20,1,0.06,20,20,Art
Beverly Hills USD,2002,2802,Crafts,1,30,1,0.06,30,30,Art
Beverly Hills USD,2003,2802,Crafts,1,15,1,0.2,15,15,Art
Beverly Hills USD,2004,2802,Crafts,1,18,1,0.2,18,18,Art
Beverly Hills USD,2006,2802,Crafts,1,30,1,0.2,30,30,Art
Burbank Unified,1997,2802,Crafts,3,183,6,1.17,30.5,30.5,Art
Burbank Unified,2001,2802,Crafts,1,25,1,0.1,25,25,Art
Burbank Unified,2003,2802,Crafts,1,142,5,1,28.4,28.4,Art
Burbank Unified,2010,2802,Crafts,1,32,20,0.49,1.6,1.6,Art
Glendale Unified,1997,2802,Crafts,2,126,6,1.2,21,21,Art
Glendale Unified,1998,2802,Crafts,2,85,4,0.8,21.2,21.2,Art
Glendale Unified,1999,2802,Crafts,1,37,2,0.4,18.5,18.5,Art
Inglewood USD,1997,2802,Crafts,1,65,2,0.36,32.5,32.5,Art
La Canada Unified,2002,2802,Crafts,1,91,3,0.6,30.3,30.3,Art
Long Beach Unified,1997,2802,Crafts,1,30,1,0.17,30,30,Art
Long Beach Unified,2000,2802,Crafts,1,32,2,0.33,16,16,Art
Long Beach Unified,2008,2802,Crafts,1,16,1,0.2,16,16,Art
Los Angeles USD,1997,2802,Crafts,53,2562,89,16.95,28.8,28.8,Art
Los Angeles USD,1998,2802,Crafts,44,2952,96,18.6,30.5,30.8,Art
Los Angeles USD,1999,2802,Crafts,38,2994,97,18.46,29.7,30.9,Art
Los Angeles USD,2000,2802,Crafts,42,2443,89,16.57,27.4,27.4,Art
Los Angeles USD,2001,2802,Crafts,37,2271,80,14.34,28,28.4,Art
Los Angeles USD,2002,2802,Crafts,40,3654,115,20.84,31.4,31.8,Art
Los Angeles USD,2003,2802,Crafts,37,3234,103,18.76,30.7,31.4,Art
Los Angeles USD,2004,2802,Crafts,13,845,27,5.03,31.3,31.3,Art
Los Angeles USD,2005,2802,Crafts,15,735,25,4.74,29.4,29.4,Art
Los Angeles USD,2006,2802,Crafts,16,1113,41,7.74,27.1,27.1,Art
Los Angeles USD,2007,2802,Crafts,15,807,30,5.49,26.9,26.9,Art
Los Angeles USD,2008,2802,Crafts,17,855,31,5.83,27.6,27.6,Art
Los Angeles USD,2010,2802,Crafts,13,1077,34,5.97,31.7,31.7,Art
Pasadena Unified,1997,2802,Crafts,2,133,4,0.8,33.2,33.2,Art
Pasadena Unified,1998,2802,Crafts,1,71,2,0.4,35.5,35.5,Art
Pasadena Unified,1999,2802,Crafts,2,177,6,1.2,29.5,29.5,Art
Pasadena Unified,2000,2802,Crafts,1,57,2,0.4,28.5,28.5,Art
Pasadena Unified,2001,2802,Crafts,1,68,2,0.4,34,34,Art
Pasadena Unified,2002,2802,Crafts,2,77,3,0.52,25.7,25.7,Art
Pasadena Unified,2003,2802,Crafts,1,78,2,0.4,39,39,Art
Santa Monica-Malibu USD,1997,2802,Crafts,2,183,7,1.4,26.1,26.1,Art
Santa Monica-Malibu USD,1998,2802,Crafts,1,66,2,0.37,33,33,Art
Santa Monica-Malibu USD,1999,2802,Crafts,2,153,5,0.88,30.6,30.6,Art
Santa Monica-Malibu USD,2000,2802,Crafts,1,88,3,0.47,29.3,29.3,Art
Santa Monica-Malibu USD,2001,2802,Crafts,1,85,3,0.55,28.3,28.3,Art
Santa Monica-Malibu USD,2002,2802,Crafts,1,62,2,0.2,31,31,Art
Santa Monica-Malibu USD,2003,2802,Crafts,1,77,3,0.57,25.7,25.7,Art
Santa Monica-Malibu USD,2004,2802,Crafts,1,66,2,0.36,33,33,Art
Santa Monica-Malibu USD,2005,2802,Crafts,1,65,2,0.36,32.5,32.5,Art
Santa Monica-Malibu USD,2006,2802,Crafts,1,48,2,0.36,24,24,Art
Santa Monica-Malibu USD,2007,2802,Crafts,1,64,2,0.36,32,32,Art
Santa Monica-Malibu USD,2008,2802,Crafts,1,49,2,0.36,24.5,24.5,Art
Beverly Hills USD,1999,2352,Dance choreography and production,1,29,1,0.2,29,29,Dance
Beverly Hills USD,2005,2352,Dance choreography and production,1,33,1,0.2,33,33,Dance
Beverly Hills USD,2006,2352,Dance choreography and production,1,33,1,0.21,33,33,Dance
Beverly Hills USD,2007,2352,Dance choreography and production,1,29,1,0.2,29,29,Dance
Beverly Hills USD,2010,2352,Dance choreography and production,1,27,1,0.2,27,27,Dance
Burbank Unified,1997,2352,Dance choreography and production,2,62,2,0.4,31,31,Dance
Burbank Unified,1998,2352,Dance choreography and production,2,76,3,0.6,25.3,25.3,Dance
Burbank Unified,2004,2352,Dance choreography and production,1,22,1,0.2,22,22,Dance
Burbank Unified,2010,2352,Dance choreography and production,2,58,2,0.4,29,29,Dance
Inglewood USD,1997,2352,Dance choreography and production,1,39,1,0.2,39,39,Dance
Inglewood USD,2000,2352,Dance choreography and production,1,81,2,0.4,40.5,40.5,Dance
Inglewood USD,2001,2352,Dance choreography and production,2,93,3,0.59,31,31,Dance
Inglewood USD,2002,2352,Dance choreography and production,2,258,7,1.4,36.9,36.9,Dance
Inglewood USD,2003,2352,Dance choreography and production,1,145,3,0.6,47,48.3,Dance
Inglewood USD,2004,2352,Dance choreography and production,1,48,1,0.2,48,48,Dance
Inglewood USD,2005,2352,Dance choreography and production,1,51,1,0.2,0,51,Dance
Long Beach Unified,2005,2352,Dance choreography and production,1,28,1,0.16,28,28,Dance
Long Beach Unified,2010,2352,Dance choreography and production,1,24,1,0.25,24,24,Dance
Los Angeles USD,2003,2352,Dance choreography and production,34,2537,70,12.32,30.1,36.2,Dance
Los Angeles USD,2004,2352,Dance choreography and production,37,2224,59,10.57,32.3,37.7,Dance
Los Angeles USD,2005,2352,Dance choreography and production,32,2346,58,11.35,32.9,40.4,Dance
Los Angeles USD,2006,2352,Dance choreography and production,35,2820,71,13.65,33.2,39.7,Dance
Los Angeles USD,2007,2352,Dance choreography and production,42,3310,93,19.31,32.5,35.6,Dance
Los Angeles USD,2008,2352,Dance choreography and production,42,3077,85,17.68,33.6,36.2,Dance
Los Angeles USD,2010,2352,Dance choreography and production,3,246,8,1.29,19.9,30.8,Dance
Manhattan Beach USD,1997,2352,Dance choreography and production,1,55,2,0.4,27.5,27.5,Dance
Manhattan Beach USD,1998,2352,Dance choreography and production,1,24,1,0.2,24,24,Dance
Pasadena Unified,1997,2352,Dance choreography and production,1,25,1,0.2,25,25,Dance
Pasadena Unified,2001,2352,Dance choreography and production,1,12,1,0.2,12,12,Dance
Pasadena Unified,2010,2352,Dance choreography and production,1,29,1,0.2,29,29,Dance
Santa Monica-Malibu USD,2001,2352,Dance choreography and production,1,10,1,0.2,10,10,Dance
Burbank Unified,1998,2355,Dance fundamentals,1,97,2,0.4,45,48.5,Dance
Inglewood USD,1997,2355,Dance fundamentals,1,52,1,0.2,0,52,Dance
Inglewood USD,2000,2355,Dance fundamentals,1,83,2,0.4,41.5,41.5,Dance
Inglewood USD,2001,2355,Dance fundamentals,1,122,3,0.6,40.7,40.7,Dance
Inglewood USD,2003,2355,Dance fundamentals,1,75,3,0.5,25,25,Dance
Inglewood USD,2004,2355,Dance fundamentals,1,75,3,0.6,25,25,Dance
Inglewood USD,2005,2355,Dance fundamentals,1,77,3,0.6,25.7,25.7,Dance
Long Beach Unified,1997,2355,Dance fundamentals,2,339,8,1.6,36,42.4,Dance
Long Beach Unified,1999,2355,Dance fundamentals,3,67,4,0.73,16.8,16.8,Dance
Long Beach Unified,2000,2355,Dance fundamentals,1,35,1,0.16,35,35,Dance
Long Beach Unified,2001,2355,Dance fundamentals,1,114,3,0.51,38,38,Dance
Long Beach Unified,2002,2355,Dance fundamentals,2,271,5,0.88,8,54.2,Dance
Long Beach Unified,2003,2355,Dance fundamentals,1,329,5,0.83,29,65.8,Dance
Long Beach Unified,2004,2355,Dance fundamentals,1,144,4,0.68,36,36,Dance
Long Beach Unified,2005,2355,Dance fundamentals,3,211,8,1.6,26.4,26.4,Dance
Long Beach Unified,2006,2355,Dance fundamentals,10,1696,45,8.72,33.6,37.7,Dance
Pasadena Unified,1999,2355,Dance fundamentals,1,22,1,0.2,22,22,Dance
Pasadena Unified,2001,2355,Dance fundamentals,1,93,3,0.6,31,31,Dance
Santa Monica-Malibu USD,2006,2355,Dance fundamentals,1,15,1,0.18,15,15,Dance
Beverly Hills USD,1997,2501,"Dance, all phases",1,32,1,0.2,32,32,Dance/Physical Education
Beverly Hills USD,1998,2501,"Dance, all phases",1,107,3,0.6,35.7,35.7,Dance/Physical Education
Beverly Hills USD,1999,2501,"Dance, all phases",1,100,3,0.6,33.3,33.3,Dance/Physical Education
Beverly Hills USD,2000,2501,"Dance, all phases",1,134,4,0.8,33.5,33.5,Dance/Physical Education
Beverly Hills USD,2001,2501,"Dance, all phases",1,158,4,0.8,39.5,39.5,Dance/Physical Education
Beverly Hills USD,2002,2501,"Dance, all phases",1,15,1,0.2,15,15,Dance/Physical Education
Beverly Hills USD,2004,2501,"Dance, all phases",1,48,1,0.2,48,48,Dance/Physical Education
Burbank Unified,1997,2501,"Dance, all phases",2,254,6,1.2,40,42.3,Dance/Physical Education
Burbank Unified,1998,2501,"Dance, all phases",2,197,5,1,39.4,39.4,Dance/Physical Education
Burbank Unified,1999,2501,"Dance, all phases",2,335,9,1.8,27.5,37.2,Dance/Physical Education
Burbank Unified,2000,2501,"Dance, all phases",2,434,12,2.4,36.2,36.2,Dance/Physical Education
Burbank Unified,2001,2501,"Dance, all phases",2,413,11,2.2,37.5,37.5,Dance/Physical Education
Burbank Unified,2002,2501,"Dance, all phases",2,386,11,2.2,35.1,35.1,Dance/Physical Education
Burbank Unified,2003,2501,"Dance, all phases",2,424,11,2.2,37.3,38.5,Dance/Physical Education
Burbank Unified,2004,2501,"Dance, all phases",1,254,6,1.2,42.3,42.3,Dance/Physical Education
Burbank Unified,2005,2501,"Dance, all phases",2,214,6,1.2,35.7,35.7,Dance/Physical Education
Burbank Unified,2006,2501,"Dance, all phases",2,151,5,1,30.2,30.2,Dance/Physical Education
Glendale Unified,2003,2501,"Dance, all phases",1,48,1,0.2,48,48,Dance/Physical Education
Glendale Unified,2004,2501,"Dance, all phases",1,53,1,0.2,0,53,Dance/Physical Education
Glendale Unified,2005,2501,"Dance, all phases",1,55,1,0.16,0,55,Dance/Physical Education
Inglewood USD,1997,2501,"Dance, all phases",1,104,2,0.36,44,52,Dance/Physical Education
Inglewood USD,1998,2501,"Dance, all phases",4,245,8,1.4,30.6,30.6,Dance/Physical Education
Inglewood USD,1999,2501,"Dance, all phases",1,150,4,0.76,37.5,37.5,Dance/Physical Education
Inglewood USD,2000,2501,"Dance, all phases",2,100,2,0.39,48,50,Dance/Physical Education
Inglewood USD,2003,2501,"Dance, all phases",1,50,1,0.2,50,50,Dance/Physical Education
La Canada Unified,1997,2501,"Dance, all phases",1,80,2,0.4,40,40,Dance/Physical Education
