School_District_Name,year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Santa Monica-Malibu USD,2003,2370,Advanced placement Music theory,1,10,1,0.2,10,10,Music AP
Santa Monica-Malibu USD,2005,2370,Advanced placement Music theory,1,18,1,0.2,18,18,Music AP
Santa Monica-Malibu USD,2006,2370,Advanced placement Music theory,1,13,1,0.2,13,13,Music AP
Beverly Hills USD,2006,2873,Advanced placement Studio Art,1,43,2,0.4,21.5,21.5,Art AP
Burbank Unified,2006,2873,Advanced placement Studio Art,1,17,1,0.2,17,17,Art AP
Long Beach Unified,2006,2873,Advanced placement Studio Art,1,17,1,0.17,17,17,Art AP
Los Angeles USD,2006,2873,Advanced placement Studio Art,23,515,29,5.77,17.8,17.8,Art AP
Manhattan Beach USD,2006,2873,Advanced placement Studio Art,1,62,2,0.4,31,31,Art AP
Pasadena Unified,2006,2873,Advanced placement Studio Art,1,74,2,0.4,37,37,Art AP
Santa Monica-Malibu USD,2006,2873,Advanced placement Studio Art,2,142,6,1.2,23.7,23.7,Art AP
Beverly Hills USD,2001,2872,Advanced placement Studio art draw. portfolio,1,32,1,0.2,32,32,Art AP
Beverly Hills USD,2004,2872,Advanced placement Studio art draw. portfolio,1,13,1,0.2,13,13,Art AP
Beverly Hills USD,2005,2872,Advanced placement Studio art draw. portfolio,1,16,1,0.2,16,16,Art AP
Long Beach Unified,1997,2872,Advanced placement Studio art draw. portfolio,2,50,2,0.37,25,25,Art AP
Long Beach Unified,1998,2872,Advanced placement Studio art draw. portfolio,2,69,2,0.37,34.5,34.5,Art AP
Long Beach Unified,1999,2872,Advanced placement Studio art draw. portfolio,1,23,1,0.2,23,23,Art AP
Long Beach Unified,2000,2872,Advanced placement Studio art draw. portfolio,4,181,6,1.09,30.2,30.2,Art AP
Los Angeles USD,1997,2872,Advanced placement Studio art draw. portfolio,3,49,3,0.52,16.3,16.3,Art AP
Los Angeles USD,1998,2872,Advanced placement Studio art draw. portfolio,4,83,4,0.8,20.8,20.8,Art AP
Los Angeles USD,1999,2872,Advanced placement Studio art draw. portfolio,5,117,5,1,23.4,23.4,Art AP
Los Angeles USD,2000,2872,Advanced placement Studio art draw. portfolio,4,56,4,0.83,14,14,Art AP
Los Angeles USD,2001,2872,Advanced placement Studio art draw. portfolio,25,540,29,5.62,18.6,18.6,Art AP
Los Angeles USD,2002,2872,Advanced placement Studio art draw. portfolio,29,699,34,6.6,20.6,20.6,Art AP
Los Angeles USD,2003,2872,Advanced placement Studio art draw. portfolio,23,471,24,4.45,19.6,19.6,Art AP
Los Angeles USD,2004,2872,Advanced placement Studio art draw. portfolio,29,590,34,6.35,17.4,17.4,Art AP
Los Angeles USD,2005,2872,Advanced placement Studio art draw. portfolio,27,682,32,6.41,20.4,21.3,Art AP
Manhattan Beach USD,2003,2872,Advanced placement Studio art draw. portfolio,1,1,1,0.2,1,1,Art AP
Manhattan Beach USD,2004,2872,Advanced placement Studio art draw. portfolio,1,5,1,0.2,5,5,Art AP
Pasadena Unified,2000,2872,Advanced placement Studio art draw. portfolio,1,15,1,0.18,15,15,Art AP
Santa Monica-Malibu USD,2001,2872,Advanced placement Studio art draw. portfolio,1,31,1,0.2,31,31,Art AP
Santa Monica-Malibu USD,2002,2872,Advanced placement Studio art draw. portfolio,1,40,2,0.4,20,20,Art AP
Santa Monica-Malibu USD,2005,2872,Advanced placement Studio art draw. portfolio,1,15,1,0.2,15,15,Art AP
Beverly Hills USD,1999,2871,Advanced placement Studio art gen. portfolio,1,11,1,0.2,11,11,Art AP
Beverly Hills USD,2000,2871,Advanced placement Studio art gen. portfolio,1,17,1,0.2,17,17,Art AP
Beverly Hills USD,2002,2871,Advanced placement Studio art gen. portfolio,1,17,1,0.17,17,17,Art AP
Beverly Hills USD,2003,2871,Advanced placement Studio art gen. portfolio,1,31,1,0.2,31,31,Art AP
Beverly Hills USD,2004,2871,Advanced placement Studio art gen. portfolio,1,17,1,0.2,17,17,Art AP
Beverly Hills USD,2005,2871,Advanced placement Studio art gen. portfolio,1,30,1,0.2,30,30,Art AP
Burbank Unified,1998,2871,Advanced placement Studio art gen. portfolio,2,121,6,1.2,20.2,20.2,Art AP
Burbank Unified,2005,2871,Advanced placement Studio art gen. portfolio,1,29,1,0.2,29,29,Art AP
Inglewood USD,2000,2871,Advanced placement Studio art gen. portfolio,1,33,1,0.2,33,33,Art AP
Inglewood USD,2001,2871,Advanced placement Studio art gen. portfolio,1,33,1,0.2,33,33,Art AP
Long Beach Unified,2001,2871,Advanced placement Studio art gen. portfolio,2,30,2,0.36,15,15,Art AP
Long Beach Unified,2002,2871,Advanced placement Studio art gen. portfolio,1,31,1,0.17,31,31,Art AP
Long Beach Unified,2003,2871,Advanced placement Studio art gen. portfolio,1,32,1,0.2,32,32,Art AP
Long Beach Unified,2004,2871,Advanced placement Studio art gen. portfolio,2,45,3,0.58,15,15,Art AP
Long Beach Unified,2005,2871,Advanced placement Studio art gen. portfolio,1,20,1,0.16,20,20,Art AP
Los Angeles USD,1997,2871,Advanced placement Studio art gen. portfolio,16,316,18,3.66,17.6,17.6,Art AP
Los Angeles USD,1998,2871,Advanced placement Studio art gen. portfolio,17,400,20,3.97,20,20,Art AP
Los Angeles USD,1999,2871,Advanced placement Studio art gen. portfolio,22,478,26,5.05,18.4,18.4,Art AP
Los Angeles USD,2000,2871,Advanced placement Studio art gen. portfolio,27,568,32,6.19,17.8,17.8,Art AP
Los Angeles USD,2003,2871,Advanced placement Studio art gen. portfolio,1,13,1,0.16,13,13,Dance/Physical Education
Manhattan Beach USD,1998,2871,Advanced placement Studio art gen. portfolio,1,10,1,0.2,10,10,Art AP
Manhattan Beach USD,1999,2871,Advanced placement Studio art gen. portfolio,1,14,1,0.1,14,14,Art AP
Manhattan Beach USD,2000,2871,Advanced placement Studio art gen. portfolio,1,15,1,0.2,15,15,Art AP
Manhattan Beach USD,2001,2871,Advanced placement Studio art gen. portfolio,1,16,1,0.2,16,16,Art AP
Manhattan Beach USD,2002,2871,Advanced placement Studio art gen. portfolio,1,16,1,0.2,16,16,Art AP
Manhattan Beach USD,2003,2871,Advanced placement Studio art gen. portfolio,1,3,1,0.25,3,3,Art AP
Manhattan Beach USD,2004,2871,Advanced placement Studio art gen. portfolio,1,20,1,0.2,20,20,Art AP
Manhattan Beach USD,2005,2871,Advanced placement Studio art gen. portfolio,1,14,1,0.2,14,14,Art AP
Pasadena Unified,2001,2871,Advanced placement Studio art gen. portfolio,1,16,1,0.17,16,16,Art AP
Pasadena Unified,2002,2871,Advanced placement Studio art gen. portfolio,1,23,2,0.4,11.5,11.5,Art AP
Pasadena Unified,2003,2871,Advanced placement Studio art gen. portfolio,1,27,2,0.2,13.5,13.5,Art AP
Pasadena Unified,2004,2871,Advanced placement Studio art gen. portfolio,2,66,5,0.8,13.2,13.2,Art AP
Pasadena Unified,2005,2871,Advanced placement Studio art gen. portfolio,2,113,4,0.8,28.2,28.2,Art AP
