4333,Apparel design and construction,Fashion/Home Eco
4410,Fashion merchandising,Fashion/Home Eco
4411,Fashion and textile design,Fashion/Home Eco
4412,"Apparel manufacturing, production and maint",Fashion/Home Eco
5527,Stage technology,"Arts, Media and Entertainment "
5527,Stage technology,"Arts, Media and Entertainment"
5527,Stage technology,Drama/Theater Technology
5527,Stage technology,Fashion/Home Eco
5621,Graphic arts technology,"Arts, Media and Entertainment"
5702,Animation,"Arts, Media and Entertainment"
5711,Digital animation,"Arts, Media and Entertainment"
5712,Internet publishing,"Arts, Media and Entertainment"
5715,Film making,"Arts, Media and Entertainment"
5715,Film-making,"Arts, Media and Entertainment"
5715,Filmmaking,"Arts, Media and Entertainment"
5716,Video production,"Arts, Media and Entertainment"
5721,Professional theater/play production,"Arts, Media and Entertainment"
5724,Professional music composition and arrangement,"Arts, Media and Entertainment"
5725,Radio production,"Arts, Media and Entertainment"
5730,Multimedia production,"Arts, Media and Entertainment"
5731,Broadcast production,"Arts, Media and Entertainment"
5732,Technical theater,"Arts, Media and Entertainment"
5744,Stage production,"Arts, Media and Entertainment"
5745,Television production,"Art, Media and Entertainment"
5745,Television production,"Arts, Media and Entertainment"
5751,Graphic communications,"Arts, Media and Entertainment"
5751,Graphic communications,"Visual Comm, Graphics"
5751,Graphic communications,Drama/Theater Technology
5752,Computer gaming and design,"Arts, Media and Entertainment"
5754,Commercial art,"Arts, Media and Entertainment"
5754,Commercial art,"Visual Comm, Graphics"
5755,Commercial photography,"Arts, Media and Entertainment"
5755,Commercial photography,"Visual Comm, Graphics"
5756,"Composition, make-up, and typesetting","Visual Comm, Graphics"
5757,Desktop publishing,"Arts, Media and Entertainment"
5757,Desktop publishing,"Visual Comm, Graphics"
5759,"Photography, lithography, and platemaking","Arts, Media and Entertainment"
5759,"Photography, lithography, and platemaking","Visual Comm, Graphics"
5759,Photo production and technology,"Arts, Media and Entertainment"
5760,Photographic laboratory and darkroom,"Arts, Media and Entertainment"
5760,Photographic laboratory and darkroom,"Visual Comm, Graphics"
5761,Printing press operations,"Visual Comm, Graphics"
5762,Silk screen making and printing,"Visual Comm, Graphics"
5769,"Other arts, media, and entertainment","Arts, Media and Entertainment "
5769,"Other arts, media, and entertainment","Arts, Media and Entertainment"
5770,Broadcasting technology,"Art, Media and Entertainment"
5770,Broadcasting technology,"Arts, Media and Entertainment"
5770,Broadcasting technology,"Visual Comm, Graphics"
5798,"Other visual communications, graphics course","Visual Comm, Graphics"
5864,Textile production and fabrication,Fashion/Home Eco
Course Code,Course Name,Subject Area
