School_District,Year,Course_Code,Course_Name,Number_of_Schools,Total_Course_Enrollment,Number_of_Classes,Number_FTE_Teachers,Average_Class_Size_filtered,Average_Class_Size,Subject_Area
Burbank Unified,2007,2370,Advanced placement Music theory,1,19,1,0.2,19,19,Music AP
Burbank Unified,2007,4331,Clothing and textiles,1,25,1,0.2,25,25,Fashion/Home Eco
Burbank Unified,2007,5757,Desktop publishing,1,32,1,0.2,32,32,"Visual Comm, Graphics"
Burbank Unified,2007,5770,Broadcasting technology,1,191,6,1.2,31.8,31.8,"Visual Comm, Graphics"
Burbank Unified,2007,5798,"Other visual communications, graphics course",1,66,2,0.4,33,33,"Visual Comm, Graphics"
Burbank Unified,2008,2824,"Secondary arts-art, music, dance, drama (thro",1,181,8,8.64,22.6,22.6,Independent Study
Burbank Unified,2008,3016,"SE Secondary arts (art, music, dance, drama)",2,24,4,0.9,6,6,Special Education
Burbank Unified,2008,2380,STAE Music,1,0,2,2,0,0,Supporting Teaching
Burbank Unified,2008,2803,Art history,1,29,1,0.2,29,29,Art
Burbank Unified,2008,2805,Photography,2,388,12,2.4,32.3,32.3,Art
Burbank Unified,2008,2809,Cinematography,1,36,1,0.2,36,36,Art
Burbank Unified,2008,2823,Fundamentals of Art (sec),2,596,19,3.8,31.4,31.4,Art
Burbank Unified,2008,2898,Other art course,5,819,28,5.43,29.2,29.2,Art
Burbank Unified,2008,2900,Theater/play production (sec schl standards),2,167,7,1.4,23.9,23.9,Drama/Theater
Burbank Unified,2008,2901,Theater/creative dramatics (elem schl standards,1,97,4,0.8,24.2,24.2,Drama/Theater
Burbank Unified,2008,2908,Media/film/video/television production,1,30,1,0.2,30,30,Drama/Theater
Burbank Unified,2008,2998,Other drama/theater course,1,25,1,0.2,25,25,Drama/Theater
Burbank Unified,2008,2300,Band,5,876,22,3.2,27.7,39.8,Music
Burbank Unified,2008,2303,Orchestra/symphony,2,173,4,0.8,40,43.2,Music
Burbank Unified,2008,2305,Chorus/choir,5,934,22,4.4,38.8,42.5,Music
Burbank Unified,2008,2307,Music appreciation/history/literature,1,59,2,0.4,29.5,29.5,Music
Burbank Unified,2008,2322,Musical theater,1,24,1,0.2,24,24,Music
