AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
35,NM,New Mexico,27-3043,Writers and Authors,,160,23.7,0.212,0.66,23.15,"48,150",4.2,15.28,17.94,23.58,27.14,29.18,"31,780","37,320","49,040","56,460","60,700",,
36,NY,New York,27-3043,Writers and Authors,,"6,500",6.1,0.771,2.42,41.95,"87,250",3.1,17.50,23.07,34.73,51.23,73.93,"36,410","47,990","72,240","106,570","153,780",,
37,NC,North Carolina,27-3043,Writers and Authors,,620,7.8,0.164,0.51,27.23,"56,640",3.3,13.85,18.15,24.00,31.93,43.22,"28,810","37,750","49,910","66,420","89,910",,
38,ND,North Dakota,27-3043,Writers and Authors,,110,24.9,0.298,0.94,15.07,"31,340",7.4,9.87,11.46,13.55,16.97,22.85,"20,530","23,840","28,190","35,300","47,530",,
39,OH,Ohio,27-3043,Writers and Authors,,"1,050",13.3,0.211,0.66,27.80,"57,830",5.2,13.52,17.66,23.51,34.15,44.38,"28,120","36,740","48,900","71,030","92,310",,
40,OK,Oklahoma,27-3043,Writers and Authors,,340,16.1,0.228,0.71,16.98,"35,320",5.6,8.37,10.47,15.01,21.21,29.38,"17,410","21,790","31,220","44,120","61,100",,
41,OR,Oregon,27-3043,Writers and Authors,,630,11.0,0.399,1.25,27.10,"56,380",3.8,13.56,19.41,25.34,32.44,40.26,"28,210","40,370","52,710","67,480","83,750",,
42,PA,Pennsylvania,27-3043,Writers and Authors,,"1,470",10.3,0.265,0.83,28.73,"59,770",3.0,15.58,20.35,26.46,34.77,45.94,"32,400","42,320","55,030","72,320","95,560",,
44,RI,Rhode Island,27-3043,Writers and Authors,,130,14.5,0.281,0.88,29.40,"61,160",3.1,18.66,23.09,29.46,35.29,41.81,"38,820","48,030","61,280","73,400","86,970",,
45,SC,South Carolina,27-3043,Writers and Authors,,160,15.4,0.093,0.29,24.62,"51,210",6.9,10.09,15.18,20.69,29.55,41.14,"20,990","31,570","43,040","61,450","85,570",,
46,SD,South Dakota,27-3043,Writers and Authors,,40,19.2,0.102,0.32,18.94,"39,400",8.9,12.10,13.24,16.28,21.94,33.02,"25,160","27,540","33,870","45,630","68,680",,
47,TN,Tennessee,27-3043,Writers and Authors,,580,21.8,0.222,0.70,18.96,"39,440",9.2,8.33,9.60,14.88,21.81,33.45,"17,330","19,960","30,950","45,360","69,580",,
48,TX,Texas,27-3043,Writers and Authors,,"1,970",7.3,0.191,0.60,26.44,"54,990",3.1,11.57,16.48,23.25,33.08,41.94,"24,070","34,270","48,370","68,810","87,230",,
49,UT,Utah,27-3043,Writers and Authors,,250,14.8,0.211,0.66,20.34,"42,300",3.3,9.20,13.52,18.01,26.04,33.62,"19,130","28,130","37,460","54,160","69,930",,
50,VT,Vermont,27-3043,Writers and Authors,,160,19.9,0.549,1.72,23.44,"48,760",7.5,12.56,14.99,18.10,27.87,36.72,"26,130","31,170","37,650","57,960","76,380",,
51,VA,Virginia,27-3043,Writers and Authors,,"1,640",10.6,0.461,1.44,29.99,"62,370",3.2,16.16,20.42,27.39,36.14,47.83,"33,600","42,480","56,970","75,170","99,480",,
53,WA,Washington,27-3043,Writers and Authors,,870,6.6,0.321,1.00,33.99,"70,700",6.1,17.37,22.28,31.87,43.57,55.21,"36,130","46,350","66,290","90,640","114,830",,
